gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
APOLD1,0.00047901661256217375,86,0.0032427432,279
TRIP13,0.00047158330306335466,87,0.007836612,161
AKR1C1,0.00043155013766712786,88,0.0055181314,206
NUF2,0.00042155851868386955,89,0.050707147,28
FHL1,0.0004148308294990367,90,0.0019378405,349
RGS2,0.0004121528784442463,91,0.004689358,228
EHD2,0.00038647219425361066,92,0.003744593,263
GPR34,0.00034842417293421763,93,0.000595813,456
LRRN4CL,0.00033014582083603565,94,0.0010204039,409
CIDEA,0.00028423015423268647,95,0.0,507
LAMP3,0.0002785172539191116,96,0.0013541859,387
MELK,0.0002637058745573697,97,0.0024916658,321
PLSCR4,0.00021505815013530194,98,0.0,509
VGLL3,0.00020038599475421913,99,0.0,500
TNS1,0.00018418600205618194,100,0.0,512
ZG16B,0.00016700444411871219,101,0.016092334,87
KRT8,0.00010570479159290238,102,0.010777756,122
ARHGAP20,9.772740136471132e-05,103,0.0009245966,421
ADH1C,9.620725504346718e-05,104,0.0046079867,231
BIK,8.023085934649615e-05,105,0.0022308864,332
C6,7.764509967449833e-05,106,0.0014587889,381
MTCL1,7.487072653432847e-05,107,0.0011611556,402
KL,7.09482041801386e-05,108,0.0021495684,335
AOC3,6.914581962241274e-05,109,0.0005306231,464
SH3D19,6.221568088487313e-05,110,0.002049261,342
NR3C1,4.512762984101148e-05,111,0.0011692246,401
MRAS,4.4661153981611334e-05,112,0.00444172,240
CLDN5,3.98862557072344e-05,113,0.006509039,185
AADAC,3.227295261411507e-05,114,0.00090731506,424
CRYAB,1.559034561686801e-05,115,0.027883787,59
GDF10,1.4960857118290362e-05,116,5.4601478e-05,496
DGAT2,1.0495725684781779e-05,117,0.008920828,143
COX7A1,1.0273650504949807e-05,118,0.0018816662,352
MMP1,5.570929164492825e-06,119,0.010928787,119
ACKR4,4.492764841815424e-06,120,0.0067965374,175
TIMP4,3.6884178745085306e-06,121,0.0055415817,205
CD36,3.435125553164152e-06,122,0.009023423,141
INMT,1.5006151906657587e-06,123,0.0008005957,432
RBP7,1.2800788422849043e-06,124,0.016712068,85
HOGA1,5.772822374306546e-07,125,0.006424766,187
SLC7A5,2.2157449573662422e-10,126,0.02093777,72
SH3BGRL2,0.0,127,0.008579748,150
TNMD,0.0,128,0.00025895628,485
SGK2,0.0,129,0.0029704638,296
S100A7,0.0,130,0.021213891,71
KLF4,0.0,131,0.0020925857,339
SIK2,0.0,132,0.002490468,322
PAQR4,0.0,133,0.0033070329,277
SLC19A3,0.0,134,0.0007447742,438
F8,0.0,135,0.00045116103,473
ADIPOQ,0.0,136,0.0,506
GLYAT,0.0,137,0.0013976682,384
ANGPT1,0.0,138,0.0008076632,430
SCARA5,0.0,139,0.00014234454,494
SSPN,0.0,140,0.0012550707,394
LYVE1,0.0,141,0.0010796015,404
FGF14-AS2,0.0,142,0.001263863,393
NNAT,0.0,143,0.0010304339,408
ANGPTL4,0.0,144,0.0005250079,465
ALDH1A1,0.0,145,0.0041466397,247
IL6,0.0,146,0.00055307715,463
MB,0.0,147,0.005621466,202
FAM149A,0.0,148,0.0014938839,379
TWIST2,0.0,149,0.0022391635,331
CD24,0.0,150,0.02733922,61
RGCC,0.0,151,0.0009471909,417
HSPB7,0.0,152,0.00023476848,487
